Date,Route,Ridership
01/2018,21,35336
01/2018,22,182240
01/2018,26,116191
01/2018,28,84932
01/2018,29,103218
01/2018,30,114544
01/2018,31,90066
01/2018,33,19982
01/2018,34,24165
01/2018,36,54473
01/2018,37,56490
01/2018,38,2510
01/2018,51,34956
01/2018,52,7023
01/2018,53,86747
01/2018,54,156043
01/2018,56,104419
01/2018,57,9201
01/2018,59,26736
01/2018,62,54354
01/2018,63,
01/2018,65,36374
01/2018,67,18438
01/2018,69,34992
01/2018,70,46149
01/2018,71,33908
01/2018,73,32587
01/2018,75,31012
01/2018,76,60943
01/2018,77,40040
01/2018,78,59427
01/2018,79,38446
01/2018,80,170630
01/2018,81,41964
01/2018,82,36962
01/2018,83,80227
01/2018,85,126954
01/2018,87,40731
01/2018,89,37550
01/2018,91,18012
01/2018,92,6968
01/2018,93,26678
01/2018,94,37745
01/2018,95,12034
01/2018,103,8369
01/2018,104,389
01/2018,105,3622
01/2018,115,5102
01/2018,120,9672
01/2018,150,4576
01/2018,154,8595
01/2018,CityLink Blue,203253
01/2018,CityLink Brown,162230
01/2018,CityLink Gold,219435
01/2018,CityLink Green,178632
01/2018,CityLink Lime,135959
01/2018,CityLink Navy,176410
01/2018,CityLink Orange,226004
01/2018,CityLink Pink,143950
01/2018,CityLink Purple,149404
01/2018,CityLink Red,257369
01/2018,CityLink Silver,146695
01/2018,CityLink Yellow,152205
02/2018,21,37465
02/2018,22,204344
02/2018,26,116526
02/2018,28,95837
02/2018,29,109444
02/2018,30,119103
02/2018,31,80719
02/2018,33,21350
02/2018,34,19134
02/2018,36,57579
02/2018,37,57543
02/2018,38,3100
02/2018,51,35265
02/2018,52,6590
02/2018,53,100765
02/2018,54,160120
02/2018,56,110309
02/2018,57,9408
02/2018,59,28482
02/2018,62,54948
02/2018,63,14076
02/2018,65,33951
02/2018,67,22059
02/2018,69,33310
02/2018,70,43544
02/2018,71,36512
02/2018,73,34767
02/2018,75,30845
02/2018,76,63373
02/2018,77,42348
02/2018,78,86722
02/2018,79,37081
02/2018,80,190852
02/2018,81,36308
02/2018,82,39182
02/2018,83,98253
02/2018,85,135462
02/2018,87,38104
02/2018,89,40947
02/2018,91,15577
02/2018,92,7311
02/2018,93,27118
02/2018,94,39381
02/2018,95,12946
02/2018,103,9338
02/2018,104,393
02/2018,105,5228
02/2018,115,5766
02/2018,120,10131
02/2018,150,3976
02/2018,154,8143
02/2018,CityLink Blue,218359
02/2018,CityLink Brown,157580
02/2018,CityLink Gold,236700
02/2018,CityLink Green,169888
02/2018,CityLink Lime,162152
02/2018,CityLink Navy,191222
02/2018,CityLink Orange,237188
02/2018,CityLink Pink,154821
02/2018,CityLink Purple,155931
02/2018,CityLink Red,286957
02/2018,CityLink Silver,147602
02/2018,CityLink Yellow,160086
03/2018,21,39189
03/2018,22,200403
03/2018,26,123242
03/2018,28,91104
03/2018,29,109227
03/2018,30,124168
03/2018,31,84250
03/2018,33,22219
03/2018,34,21193
03/2018,36,58998
03/2018,37,64647
03/2018,38,2500
03/2018,51,38149
03/2018,52,7122
03/2018,53,93906
03/2018,54,183251
03/2018,56,115974
03/2018,57,9150
03/2018,59,30407
03/2018,62,60374
03/2018,63,19491
03/2018,65,37024
03/2018,67,25299
03/2018,69,37697
03/2018,70,47314
03/2018,71,38969
03/2018,73,36105
03/2018,75,32039
03/2018,76,68426
03/2018,77,43512
03/2018,78,100476
03/2018,79,41152
03/2018,80,186020
03/2018,81,36822
03/2018,82,39585
03/2018,83,99542
03/2018,85,137740
03/2018,87,36329
03/2018,89,44445
03/2018,91,20802
03/2018,92,7992
03/2018,93,31167
03/2018,94,38788
03/2018,95,13917
03/2018,103,8372
03/2018,104,350
03/2018,105,4404
03/2018,115,5411
03/2018,120,10299
03/2018,150,4686
03/2018,154,9017
03/2018,CityLink Blue,233224
03/2018,CityLink Brown,178779
03/2018,CityLink Gold,262156
03/2018,CityLink Green,166794
03/2018,CityLink Lime,165048
03/2018,CityLink Navy,198115
03/2018,CityLink Orange,250389
03/2018,CityLink Pink,167018
03/2018,CityLink Purple,170469
03/2018,CityLink Red,307635
03/2018,CityLink Silver,154393
03/2018,CityLink Yellow,173998
04/2018,21,43240
04/2018,22,226392
04/2018,26,132037
04/2018,28,100214
04/2018,29,119490
04/2018,30,136197
04/2018,31,93156
04/2018,33,25503
04/2018,34,22352
04/2018,36,62455
04/2018,37,66947
04/2018,38,2662
04/2018,51,39656
04/2018,52,7876
04/2018,53,106837
04/2018,54,195301
04/2018,56,114696
04/2018,57,9972
04/2018,59,32505
04/2018,62,63232
04/2018,63,21426
04/2018,65,38454
04/2018,67,26891
04/2018,69,38939
04/2018,70,49599
04/2018,71,40224
04/2018,73,37458
04/2018,75,33131
04/2018,76,72250
04/2018,77,44324
04/2018,78,110522
04/2018,79,42173
04/2018,80,191801
04/2018,81,45246
04/2018,82,37323
04/2018,83,90812
04/2018,85,140690
04/2018,87,45253
04/2018,89,45728
04/2018,91,22153
04/2018,92,6093
04/2018,93,32048
04/2018,94,41824
04/2018,95,14691
04/2018,103,8970
04/2018,104,451
04/2018,105,4533
04/2018,115,6031
04/2018,120,9818
04/2018,150,4765
04/2018,154,10388
04/2018,CityLink Blue,242154
04/2018,CityLink Brown,191417
04/2018,CityLink Gold,273177
04/2018,CityLink Green,185791
04/2018,CityLink Lime,165259
04/2018,CityLink Navy,204459
04/2018,CityLink Orange,267722
04/2018,CityLink Pink,180923
04/2018,CityLink Purple,177171
04/2018,CityLink Red,312534
04/2018,CityLink Silver,159898
04/2018,CityLink Yellow,171397
05/2018,21,46270
05/2018,22,238774
05/2018,26,141105
05/2018,28,103338
05/2018,29,123221
05/2018,30,153385
05/2018,31,102509
05/2018,33,28493
05/2018,34,24832
05/2018,36,65884
05/2018,37,74584
05/2018,38,2746
05/2018,51,41754
05/2018,52,7950
05/2018,53,113264
05/2018,54,216819
05/2018,56,128721
05/2018,57,11829
05/2018,59,36584
05/2018,62,69964
05/2018,63,24832
05/2018,65,41566
05/2018,67,27223
05/2018,69,41560
05/2018,70,53221
05/2018,71,45387
05/2018,73,39976
05/2018,75,35768
05/2018,76,77014
05/2018,77,48984
05/2018,78,121014
05/2018,79,46851
05/2018,80,206393
05/2018,81,50442
05/2018,82,42581
05/2018,83,97173
05/2018,85,152849
05/2018,87,48335
05/2018,89,49880
05/2018,91,24714
05/2018,92,8344
05/2018,93,36784
05/2018,94,43749
05/2018,95,16457
05/2018,103,9570
05/2018,104,498
05/2018,105,4987
05/2018,115,6177
05/2018,120,10702
05/2018,150,5114
05/2018,154,10656
05/2018,CityLink Blue,261809
05/2018,CityLink Brown,205363
05/2018,CityLink Gold,289993
05/2018,CityLink Green,191683
05/2018,CityLink Lime,181747
05/2018,CityLink Navy,217846
05/2018,CityLink Orange,278457
05/2018,CityLink Pink,195075
05/2018,CityLink Purple,192842
05/2018,CityLink Red,338035
05/2018,CityLink Silver,177586
05/2018,CityLink Yellow,187167
06/2018,21,45460
06/2018,22,205156
06/2018,26,133239
06/2018,28,89824
06/2018,29,109146
06/2018,30,137701
06/2018,31,97964
06/2018,33,24800
06/2018,34,23853
06/2018,36,64201
06/2018,37,71671
06/2018,38,1302
06/2018,51,40605
06/2018,52,8030
06/2018,53,105337
06/2018,54,198261
06/2018,56,124435
06/2018,57,9733
06/2018,59,33788
06/2018,62,69357
06/2018,63,24954
06/2018,65,38395
06/2018,67,26877
06/2018,69,42356
06/2018,70,52043
06/2018,71,41894
06/2018,73,40497
06/2018,75,36014
06/2018,76,72915
06/2018,77,48566
06/2018,78,120992
06/2018,79,46276
06/2018,80,196780
06/2018,81,49412
06/2018,82,40391
06/2018,83,96788
06/2018,85,139958
06/2018,87,46118
06/2018,89,46063
06/2018,91,20437
06/2018,92,6260
06/2018,93,36744
06/2018,94,42246
06/2018,95,14053
06/2018,103,8373
06/2018,104,565
06/2018,105,4460
06/2018,115,5913
06/2018,120,10191
06/2018,150,5091
06/2018,154,10169
06/2018,CityLink Blue,252654
06/2018,CityLink Brown,206333
06/2018,CityLink Gold,273728
06/2018,CityLink Green,186876
06/2018,CityLink Lime,161491
06/2018,CityLink Navy,206484
06/2018,CityLink Orange,263610
06/2018,CityLink Pink,178311
06/2018,CityLink Purple,179213
06/2018,CityLink Red,316934
06/2018,CityLink Silver,156669
06/2018,CityLink Yellow,185173
07/2018,21,42702
07/2018,22,191501
07/2018,26,121825
07/2018,28,79317
07/2018,29,106408
07/2018,30,124862
07/2018,31,92058
07/2018,33,18727
07/2018,34,22975
07/2018,36,58357
07/2018,37,65939
07/2018,38,
07/2018,51,36860
07/2018,52,7399
07/2018,53,86731
07/2018,54,183021
07/2018,56,128448
07/2018,57,8750
07/2018,59,28227
07/2018,62,61598
07/2018,63,30362
07/2018,65,39004
07/2018,67,24545
07/2018,69,41313
07/2018,70,50689
07/2018,71,39604
07/2018,73,38725
07/2018,75,34679
07/2018,76,69589
07/2018,77,42706
07/2018,78,111604
07/2018,79,43288
07/2018,80,192108
07/2018,81,48287
07/2018,82,37752
07/2018,83,87370
07/2018,85,127580
07/2018,87,44622
07/2018,89,47017
07/2018,91,22072
07/2018,92,1783
07/2018,93,33968
07/2018,94,36361
07/2018,95,11411
07/2018,103,8166
07/2018,104,674
07/2018,105,4906
07/2018,115,5969
07/2018,120,10456
07/2018,150,4894
07/2018,154,10439
07/2018,CityLink Blue,238746
07/2018,CityLink Brown,196389
07/2018,CityLink Gold,266421
07/2018,CityLink Green,166770
07/2018,CityLink Lime,162103
07/2018,CityLink Navy,194827
07/2018,CityLink Orange,251870
07/2018,CityLink Pink,169880
07/2018,CityLink Purple,164308
07/2018,CityLink Red,305905
07/2018,CityLink Silver,157506
07/2018,CityLink Yellow,177802
08/2018,21,47567
08/2018,22,196799
08/2018,26,119663
08/2018,28,83897
08/2018,29,117004
08/2018,30,131832
08/2018,31,98888
08/2018,33,18847
08/2018,34,22932
08/2018,36,63995
08/2018,37,71851
08/2018,38,
08/2018,51,41418
08/2018,52,7192
08/2018,53,91641
08/2018,54,190700
08/2018,56,132711
08/2018,57,7935
08/2018,59,31419
08/2018,62,72158
08/2018,63,28690
08/2018,65,38890
08/2018,67,28774
08/2018,69,45256
08/2018,70,56957
08/2018,71,38408
08/2018,73,40601
08/2018,75,40045
